speaker,item,start,label,duration,tp,f1,f2,f3
PL01,zima,133.57892203754483,V1,0.0790,0,1758.01,3517.48,4489.74
PL01,zima,133.57892203754483,V1,0.0790,1,224.24,2705.11,3792.78
PL01,zima,133.57892203754483,V1,0.0790,2,248.17,2674.22,3712.05
PL01,zima,133.57892203754483,V1,0.0790,3,259.92,2560.99,3955.51
PL01,zima,133.57892203754483,V1,0.0790,4,275.18,2561.82,3978.36
PL01,zima,133.57892203754483,V1,0.0790,5,289.47,2577.47,3651.62
PL01,zima,133.57892203754483,V1,0.0790,6,304.64,2593.17,3377.10
PL01,zima,133.57892203754483,V1,0.0790,7,313.28,2593.30,3384.96
PL01,zima,133.57892203754483,V1,0.0790,8,315.73,2548.81,3414.76
PL01,zima,133.57892203754483,V1,0.0790,9,311.55,2412.71,3423.31
PL01,zima,133.57892203754483,V1,0.0790,10,324.58,2245.13,3477.73
PL01,mimoza,162.029977,V1,0.0700,0,348.03,2409.64,4362.47
PL01,mimoza,162.029977,V1,0.0700,1,326.56,1575.59,3099.26
PL01,mimoza,162.029977,V1,0.0700,2,321.60,2068.53,2544.19
PL01,mimoza,162.029977,V1,0.0700,3,335.51,2468.02,4118.05
PL01,mimoza,162.029977,V1,0.0700,4,366.34,2465.25,4130.80
PL01,mimoza,162.029977,V1,0.0700,5,369.23,2493.53,4170.25
PL01,mimoza,162.029977,V1,0.0700,6,374.84,2323.63,3672.41
PL01,mimoza,162.029977,V1,0.0700,7,378.29,2228.69,3272.73
PL01,mimoza,162.029977,V1,0.0700,8,391.33,2600.86,4182.33
PL01,mimoza,162.029977,V1,0.0700,9,398.17,1821.79,3054.39
PL01,mimoza,162.029977,V1,0.0700,10,408.97,2139.77,3851.82
PL01,zimami,179.33637951777465,V1,0.0494,0,279.08,2850.70,3802.00
PL01,zimami,179.33637951777465,V1,0.0494,1,290.27,2751.51,3679.85
PL01,zimami,179.33637951777465,V1,0.0494,2,300.15,2665.13,3589.99
PL01,zimami,179.33637951777465,V1,0.0494,3,311.55,2647.98,3570.97
PL01,zimami,179.33637951777465,V1,0.0494,4,319.94,2686.45,3428.01
PL01,zimami,179.33637951777465,V1,0.0494,5,325.31,2651.88,3135.82
PL01,zimami,179.33637951777465,V1,0.0494,6,330.63,2553.75,2927.87
PL01,zimami,179.33637951777465,V1,0.0494,7,337.49,2418.49,2867.00
PL01,zimami,179.33637951777465,V1,0.0494,8,345.34,2303.78,2731.41
PL01,zimami,179.33637951777465,V1,0.0494,9,361.58,2280.49,2733.43
PL01,zimami,179.33637951777465,V1,0.0494,10,361.80,2309.88,3720.47
PL01,mimo,182.98,V1,0.1187,0,398.27,2331.68,4498.07
PL01,mimo,182.98,V1,0.1187,1,386.29,2530.76,3973.30
PL01,mimo,182.98,V1,0.1187,2,388.09,2506.99,3966.25
PL01,mimo,182.98,V1,0.1187,3,380.31,2510.12,4022.54
PL01,mimo,182.98,V1,0.1187,4,356.07,2486.34,3842.62
PL01,mimo,182.98,V1,0.1187,5,328.65,2462.34,3990.30
PL01,mimo,182.98,V1,0.1187,6,297.69,2453.63,4041.50
PL01,mimo,182.98,V1,0.1187,7,297.26,2450.61,3930.46
PL01,mimo,182.98,V1,0.1187,8,296.15,2437.79,3295.97
PL01,mimo,182.98,V1,0.1187,9,305.32,2445.40,2899.03
PL01,mimo,182.98,V1,0.1187,10,320.55,2319.81,3498.62
PL01,zima,219.43797034974472,V1,0.0619,0,271.11,2629.96,3645.50
PL01,zima,219.43797034974472,V1,0.0619,1,279.87,2617.26,3646.43
PL01,zima,219.43797034974472,V1,0.0619,2,290.51,2541.02,3677.13
PL01,zima,219.43797034974472,V1,0.0619,3,301.41,2481.15,3670.64
PL01,zima,219.43797034974472,V1,0.0619,4,313.25,2473.35,3579.67
PL01,zima,219.43797034974472,V1,0.0619,5,322.49,2470.23,3440.45
PL01,zima,219.43797034974472,V1,0.0619,6,327.21,2483.01,3620.37
PL01,zima,219.43797034974472,V1,0.0619,7,331.51,2490.10,3805.28
PL01,zima,219.43797034974472,V1,0.0619,8,337.96,2467.94,3842.40
PL01,zima,219.43797034974472,V1,0.0619,9,338.50,2397.23,3796.86
PL01,zima,219.43797034974472,V1,0.0619,10,346.38,2276.17,3716.11
