speaker,item,start,label,duration,tp,f1,f2,f3
PL01,rzepa,101.11710936142153,V1,0.1044,0,453.68,1767.60,2846.05
PL01,rzepa,101.11710936142153,V1,0.1044,1,494.89,1769.77,2686.64
PL01,rzepa,101.11710936142153,V1,0.1044,2,538.19,1813.18,2690.61
PL01,rzepa,101.11710936142153,V1,0.1044,3,572.38,1834.90,2686.14
PL01,rzepa,101.11710936142153,V1,0.1044,4,579.47,1847.15,2543.83
PL01,rzepa,101.11710936142153,V1,0.1044,5,588.81,1854.43,2286.04
PL01,rzepa,101.11710936142153,V1,0.1044,6,621.81,1874.73,2704.47
PL01,rzepa,101.11710936142153,V1,0.1044,7,630.65,1877.28,2697.77
PL01,rzepa,101.11710936142153,V1,0.1044,8,610.37,1881.51,2640.05
PL01,rzepa,101.11710936142153,V1,0.1044,9,563.42,1772.89,2462.96
PL01,rzepa,101.11710936142153,V1,0.1044,10,535.46,1786.19,2401.28
PL01,kuma,105.129977,V1,0.0700,0,371.07,727.27,2466.54
PL01,kuma,105.129977,V1,0.0700,1,410.61,700.32,2470.55
PL01,kuma,105.129977,V1,0.0700,2,424.34,616.91,2467.43
PL01,kuma,105.129977,V1,0.0700,3,588.52,2427.22,3405.41
PL01,kuma,105.129977,V1,0.0700,4,599.90,2510.36,3332.52
PL01,kuma,105.129977,V1,0.0700,5,602.37,2481.44,3277.76
PL01,kuma,105.129977,V1,0.0700,6,594.43,2468.55,2900.49
PL01,kuma,105.129977,V1,0.0700,7,579.70,2438.68,2825.56
PL01,kuma,105.129977,V1,0.0700,8,569.49,2410.13,2860.21
PL01,kuma,105.129977,V1,0.0700,9,562.22,2394.43,2885.54
PL01,kuma,105.129977,V1,0.0700,10,553.48,2366.55,2862.48
PL01,babochlop,108.55037897284078,V1,0.0743,0,622.05,1384.54,2351.09
PL01,babochlop,108.55037897284078,V1,0.0743,1,646.45,1354.98,2232.11
PL01,babochlop,108.55037897284078,V1,0.0743,2,672.11,1370.22,2219.28
PL01,babochlop,108.55037897284078,V1,0.0743,3,691.57,1384.49,2245.36
PL01,babochlop,108.55037897284078,V1,0.0743,4,685.29,1368.97,2210.98
