speaker,item,start,label,duration,tp,f0
PL01,rzepa,101.1171094,V1,0.1044,101.1692954,167.2432
PL01,kuma,105.129977,V1,0.07,105.164966,180.3402
PL01,babochlop,108.550379,V1,0.0743,108.5875308,154.9022
PL01,rzepaku,112.4419075,V1,0.0691,112.4764631,153.5197
PL01,zywo,116.14,V1,0.07,116.1749885,182.6444
PL01,nowo,119.7524694,V1,0.1128,119.8088868,167.8473
PL01,sumo,123.1987336,V1,0.1086,123.2530352,180.4272
PL01,popa,126.5697207,V1,0.0783,126.6088603,189.4758
PL01,papa,130.0683522,V1,0.0818,130.1092547,191.1118
PL01,zima,133.578922,V1,0.079,133.6184142,187.9596
PL01,popada,137.24028,V1,0.0536,137.2670782,155.9227
PL01,cumowac,140.709977,V1,0.047,140.7334999,164.1513
PL01,bywa,144.32,V1,0.11,144.3749885,181.163
PL01,kumaty,147.7923417,V1,0.0477,147.8161709,170.3896
PL01,nieborak,151.2849039,V1,0.0367,151.3032395,157.1568
PL01,papaja,154.7956102,V1,0.0606,154.8259346,161.4485
PL01,nowotw€r,158.369977,V1,0.07,158.404966,160.1766
PL01,mimoza,162.029977,V1,0.07,162.064966,161.261
PL01,babo,165.5830429,V1,0.1276,165.646865,184.0264
PL01,zywotnie,169.019955,V1,0.06,169.0499775,159.5623
PL01,niebo,172.6167928,V1,0.0677,172.6506432,189.024
PL01,bywalec,175.5823958,V1,0.0839,175.6243562,163.3528
PL01,zimami,179.3363795,V1,0.0494,179.3610621,161.8712
PL01,mimo,182.98,V1,0.1187,183.0393704,174.6216
PL01,rzepa,186.609977,V1,0.094,186.6569724,174.2922
PL01,kuma,190.4681212,V1,0.0764,190.5063363,201.8969
PL01,babochlop,193.68,V1,0.07,193.7149885,162.0737
PL01,rzepaku,197.4946748,V1,0.0667,197.5280372,157.0387
PL01,zywo,201.4053714,V1,0.1046,201.4576742,185.5721
PL01,nowo,204.9370972,V1,0.1129,204.9935371,169.4813
PL01,sumo,208.5025406,V1,0.0958,208.5504612,191.7151
PL01,popa,211.8277749,V1,0.0837,211.8696295,187.5222
PL01,papa,215.4623695,V1,0.0952,215.5099867,189.0778
PL01,zima,219.4379703,V1,0.0619,219.4689064,186.3649
PL01,popada,222.9942862,V1,0.0522,223.0203695,159.3813
PL01,cumowac,226.8183389,V1,0.0473,226.8419958,168.884
PL01,bywa,230.536614,V1,0.1233,230.5982845,176.2183
PL01,kumaty,234.2184937,V1,0.0473,234.2421507,164.7831
PL01,nieborak,238.0781217,V1,0.0388,238.0975325,159.4655
PL01,papaja,241.5822997,V1,0.0528,241.6086863,154.2346
PL01,nowotw€r,245.2918917,V1,0.0681,245.3259233,160.0648
PL01,mimoza,249.0910265,V1,0.0619,249.1219626,159.7888
PL01,babo,253.0050839,V1,0.1122,253.0611933,184.964
PL01,zywotnie,256.7676893,V1,0.0723,256.8038221,160.006
PL01,niebo,260.8317835,V1,0.037,260.8502845,196.6584
PL01,bywalec,264.29086,V1,0.094,264.3378706,163.5426
PL01,zimami,268.049977,V1,0.06,268.079977,162.5456
PL01,mimo,272.129977,V1,0.1163,272.1881146,182.9026
PL01,rzepa,275.3367077,V1,0.0746,275.3740129,192.8948
PL01,kuma,277.8441444,V1,0.0752,277.881753,199.6902
PL01,babochlop,280.2318205,V1,0.0692,280.2663961,173.7594
PL01,rzepaku,283.4816094,V1,0.0497,283.5064795,148.5534
PL01,zywo,286.525733,V1,0.0861,286.5688009,181.2221
PL01,nowo,289.4658718,V1,0.0886,289.5101528,180.003
PL01,sumo,292.4162323,V1,0.0873,292.4599067,208.8546
PL01,popa,295.3531341,V1,0.0728,295.3895294,199.7514
PL01,papa,298.1887307,V1,0.0873,298.2324051,199.7101
PL01,zima,301.2190882,V1,0.0837,301.2609428,192.1561
PL01,popada,303.8121045,V1,0.0467,303.8354582,155.6026
PL01,cumowac,307.2525619,V1,0.0274,307.2662809,163.3388
PL01,bywa,310.4865478,V1,0.1092,310.5411409,185.7388
PL01,kumaty,313.2072068,V1,0.0364,313.2254045,156.6404
PL01,nieborak,316.019955,V1,0.0209,316.0304226,155.1105
PL01,papaja,319.049977,V1,0.0559,319.0779329,160.6575
PL01,nowotw€r,321.8046323,V1,0.0653,321.8373046,155.0169
PL01,mimoza,324.7775539,V1,0.0625,324.8087932,153.555
PL01,babo,327.669977,V1,0.12,327.729977,180.4112
PL01,zywotnie,330.24,V1,0.04,330.26,151.6639
PL01,niebo,333.4148615,V1,0.0551,333.4424193,201.7296
PL01,bywalec,335.7791433,V1,0.0546,335.8064398,146.0877
PL01,zimami,338.559955,V1,0.04,338.5799775,158.3936
PL01,mimo,341.269977,V1,0.0899,341.3149218,190.2553
PL01,rzepa,343.9216624,V1,0.0752,343.9592709,196.7683
PL01,kuma,346.6024504,V1,0.074,346.6394524,201.5416
PL01,babochlop,349.3539121,V1,0.0561,349.3819446,153.7148
PL01,rzepaku,352.3173595,V1,0.0449,352.3398032,159.9406
PL01,zywo,355.349977,V1,0.09,355.394966,197.499
PL01,nowo,358.0367139,V1,0.125,358.0991926,193.6132
PL01,sumo,360.6640907,V1,0.0849,360.7065519,200.5841
PL01,popa,363.3674759,V1,0.0801,363.4075108,203.9779
PL01,papa,366.0280042,V1,0.0825,366.0692523,197.4025
PL01,zima,368.8862806,V1,0.0971,368.9348077,192.1718
PL01,popada,371.4339223,V1,0.0461,371.4569727,159.861
PL01,cumowac,374.139955,V1,0.03,374.154966,157.7782
PL01,bywa,376.5754029,V1,0.057,376.6039126,170.7363
PL01,kumaty,379.7411396,V1,0.0328,379.7575175,165.2282
PL01,nieborak,382.609977,V1,0.03,382.624966,156.7928
PL01,papaja,385.4257099,V1,0.0485,385.4499735,160.2256
PL01,nowotw€r,388.089977,V1,0.05,388.114966,157.2091
PL01,mimoza,390.609932,V1,0.06,390.6399545,161.2064
PL01,babo,393.2379545,V1,0.1189,393.2974002,178.9557
PL01,zywotnie,395.56,V1,0.04,395.58,154.7576
PL01,niebo,398.0729175,V1,0.034,398.089902,206.9016
PL01,bywalec,400.3166325,V1,0.0631,400.3481751,156.6072
PL01,zimami,402.619955,V1,0.05,402.644966,158.0779
PL01,mimo,405.129977,V1,0.0826,405.1712958,194.2354
PL01,rzepa,407.7791145,V1,0.057,407.8076242,197.049
PL01,kuma,409.5367277,V1,0.0388,409.5561385,202.648
PL01,babochlop,411.359955,V1,0.0489,411.3843949,167.5617
PL01,rzepaku,413.3965691,V1,0.0461,413.4196195,165.9389
PL01,zywo,415.3329746,V1,0.047,415.3564873,182.9738
PL01,nowo,417.2369997,V1,0.0497,417.2618698,175.0541
PL01,sumo,419.1325326,V1,0.0315,419.1483039,184.4288
PL01,popa,420.9215369,V1,0.0419,420.9424642,189.7564
PL01,papa,422.7090982,V1,0.0594,422.738821,191.4891
PL01,zima,424.5360853,V1,0.0439,424.5580426,179.6065
PL01,popada,426.2694278,V1,0.0376,426.2882321,164.0478
PL01,cumowac,428.1883522,V1,0.0316,428.2041536,167.5579
PL01,bywa,430.2070755,V1,0.0522,430.2331588,175.1727
PL01,kumaty,432.3103612,V1,0.0291,432.3249193,166.1258
PL01,nieborak,434.22,V1,0.03,434.2349885,159.6664
PL01,papaja,436.089977,V1,0.0513,436.1156433,167.6921
PL01,nowotw€r,437.889977,V1,0.06,437.919977,160.469
PL01,mimoza,439.789932,V1,0.046,439.8129338,161.6725
PL01,babo,441.7009231,V1,0.0891,441.74545,167.7652
PL01,zywotnie,443.349977,V1,0.03,443.364966,162.4289
PL01,niebo,445.309977,V1,0.04,445.329977,179.6209
PL01,bywalec,447.0193654,V1,0.0534,447.0460553,168.7304
PL01,zimami,449.26,V1,0.04,449.28,162.5351
PL01,mimo,451.169977,V1,0.05,451.194966,171.3099
PL01,rzepa,453.1475892,V1,0.0461,453.1706396,177.4566
PL01,kuma,454.887362,V1,0.0297,454.9022234,181.6862
